Suma de LIFETIME,PAYMENT_METHOD,SENDBACK,Suma de TURNOVER,Suma de TYPE,USER_ID,VIDEO_AD,AOV,Conversion Texto,Impacto Video vs Texto,Tasa de Conversion,Conversion Video,Total Transacciones,Total Turnover,GENDER,Año,Trimestre,Mes,Día,Suma de CREDIT_SCORE,CONVERTED,AGE_GROUP,Suma de AGE
0,bank transfer,false,31,1,ben_thomas,true,"€31,00",,,,,1,€31,male,2023,Qtr 4,octubre,29,4,false,Joven,22
5,bank transfer,false,37,1,bruce_besson1,true,"€37,00",,,,,1,€37,male,2023,Qtr 4,octubre,8,4,false,Adulto Joven,32
11,bank transfer,false,389,1,bruno_moon,false,"€389,00",,,,,1,€389,male,2023,Qtr 4,diciembre,17,4,false,Adulto,51
11,bank transfer,false,335,1,bruno_moon,true,"€335,00",,,,,1,€335,male,2023,Qtr 4,noviembre,29,4,false,Adulto,51
8,bank transfer,false,44,3,cardiB,false,"€44,00",,,,,1,€44,female,2023,Qtr 4,octubre,2,3,false,Adulto Joven,27
8,bank transfer,false,39,3,cardiB,false,"€39,00",,,,,1,€39,female,2023,Qtr 4,octubre,5,3,false,Adulto Joven,27
8,bank transfer,false,381,3,cardiB,false,"€381,00",,,,,1,€381,female,2023,Qtr 4,octubre,24,3,false,Adulto Joven,27
8,bank transfer,false,35,3,cardiB,false,"€35,00",,,,,1,€35,female,2023,Qtr 4,noviembre,26,3,false,Adulto Joven,27
8,bank transfer,false,34,3,cardiB,false,"€34,00",,,,,1,€34,female,2023,Qtr 4,diciembre,23,3,false,Adulto Joven,27
8,bank transfer,false,42,3,cardiB,true,"€42,00",,,"100,00%","100,00%",1,€42,female,2023,Qtr 4,octubre,15,3,true,Adulto Joven,27
8,bank transfer,false,400,3,cardiB,true,"€400,00",,,,,1,€400,female,2023,Qtr 4,octubre,21,3,false,Adulto Joven,27
8,bank transfer,false,41,3,cardiB,true,"€41,00",,,,,1,€41,female,2023,Qtr 4,noviembre,6,3,false,Adulto Joven,27
8,bank transfer,false,163,3,cardiB,true,"€163,00",,,"100,00%","100,00%",1,€163,female,2023,Qtr 4,noviembre,11,3,true,Adulto Joven,27
8,bank transfer,false,591,3,cardiB,true,"€591,00",,,"100,00%","100,00%",1,€591,female,2023,Qtr 4,noviembre,27,3,true,Adulto Joven,27
8,bank transfer,false,462,3,cardiB,true,"€462,00",,,,,1,€462,female,2023,Qtr 4,diciembre,14,3,false,Adulto Joven,27
1,bank transfer,false,32,3,dianehall,false,"€32,00",,,,,1,€32,female,2023,Qtr 4,octubre,11,1,false,Adulto Joven,26
1,bank transfer,false,45,3,dianehall,false,"€45,00",,,,,1,€45,female,2023,Qtr 4,noviembre,2,1,false,Adulto Joven,26
1,bank transfer,false,33,3,dianehall,false,"€33,00",,,,,1,€33,female,2023,Qtr 4,diciembre,29,1,false,Adulto Joven,26
1,bank transfer,false,48,3,dianehall,true,"€48,00",,,,,1,€48,female,2023,Qtr 4,octubre,29,1,false,Adulto Joven,26
1,bank transfer,false,38,3,dianehall,true,"€38,00",,,,,1,€38,female,2023,Qtr 4,noviembre,25,1,false,Adulto Joven,26
1,bank transfer,false,49,3,dianehall,true,"€49,00",,,"100,00%","100,00%",1,€49,female,2023,Qtr 4,diciembre,13,1,true,Adulto Joven,26
12,bank transfer,false,44,1,Duc_le_vu,false,"€44,00",,,,,1,€44,male,2023,Qtr 4,octubre,6,2,false,Senior,88
12,bank transfer,false,40,1,Duc_le_vu,false,"€40,00",,,,,1,€40,male,2023,Qtr 4,octubre,17,2,false,Senior,88
12,bank transfer,false,43,1,Duc_le_vu,false,"€43,00",,,,,1,€43,male,2023,Qtr 4,diciembre,9,2,false,Senior,88
12,bank transfer,false,48,1,Duc_le_vu,true,"€48,00",,,,,1,€48,male,2023,Qtr 4,diciembre,20,2,false,Senior,88
2,bank transfer,false,35,1,elaine_marie,true,"€35,00",,,,,1,€35,female,2023,Qtr 4,octubre,10,5,false,Joven,23
12,bank transfer,false,38,1,ella_oconnor,true,"€38,00",,,,,1,€38,female,2023,Qtr 4,noviembre,19,4,false,Adulto,57
12,bank transfer,false,196,2,gene_f_erandez,true,"€196,00",,,,,1,€196,male,2023,Qtr 4,diciembre,15,5,false,Senior,66
12,bank transfer,false,336,1,Gingin_xang,false,"€336,00",,,,,1,€336,male,2023,Qtr 4,diciembre,21,4,false,Adulto,53
12,bank transfer,false,33,1,Gingin_xang,true,"€33,00",,,,,1,€33,male,2023,Qtr 4,octubre,10,4,false,Adulto,53
12,bank transfer,false,42,1,jackie_gleason,false,"€42,00",,,,,1,€42,male,2023,Qtr 4,octubre,17,4,false,Joven,23
12,bank transfer,false,46,1,jackie_gleason,true,"€46,00",,,,,1,€46,male,2023,Qtr 4,noviembre,3,4,false,Joven,23
9,bank transfer,false,50,1,julian22,false,"€50,00",,,,,1,€50,male,2023,Qtr 4,octubre,6,3,false,Adulto,54
9,bank transfer,false,41,1,julian22,false,"€41,00",,,,,1,€41,male,2023,Qtr 4,noviembre,24,3,false,Adulto,54
9,bank transfer,false,44,1,julian22,false,"€44,00",,,,,1,€44,male,2023,Qtr 4,noviembre,29,3,false,Adulto,54
9,bank transfer,false,36,1,julian22,false,"€36,00",,,,,1,€36,male,2023,Qtr 4,diciembre,2,3,false,Adulto,54
9,bank transfer,false,37,1,julian22,false,"€37,00",,,,,1,€37,male,2023,Qtr 4,diciembre,19,3,false,Adulto,54
9,bank transfer,false,35,1,julian22,true,"€35,00",,,,,1,€35,male,2023,Qtr 4,octubre,7,3,false,Adulto,54
9,bank transfer,false,300,1,julian22,true,"€300,00",,,,,1,€300,male,2023,Qtr 4,octubre,9,3,false,Adulto,54
9,bank transfer,false,43,1,julian22,true,"€43,00",,,"100,00%","100,00%",1,€43,male,2023,Qtr 4,octubre,21,3,true,Adulto,54
9,bank transfer,false,341,1,julian22,true,"€341,00",,,"100,00%","100,00%",1,€341,male,2023,Qtr 4,noviembre,17,3,true,Adulto,54
11,bank transfer,false,35,1,julianne1,false,"€35,00","100,00%","-100,00%","100,00%",,1,€35,female,2023,Qtr 4,octubre,5,2,true,Adulto,47
12,bank transfer,false,455,2,laura_smith,false,"€455,00",,,,,1,€455,female,2023,Qtr 4,noviembre,17,5,false,Adulto,47
12,bank transfer,false,177,2,laura_smith,false,"€177,00",,,,,1,€177,female,2023,Qtr 4,noviembre,25,5,false,Adulto,47
12,bank transfer,false,612,2,laura_smith,false,"€612,00",,,,,1,€612,female,2023,Qtr 4,diciembre,7,5,false,Adulto,47
12,bank transfer,false,576,2,laura_smith,false,"€576,00",,,,,1,€576,female,2023,Qtr 4,diciembre,15,5,false,Adulto,47
12,bank transfer,false,182,2,laura_smith,false,"€182,00",,,,,1,€182,female,2023,Qtr 4,diciembre,29,5,false,Adulto,47
12,bank transfer,false,102,2,laura_smith,true,"€102,00",,,,,1,€102,female,2023,Qtr 4,octubre,11,5,false,Adulto,47
12,bank transfer,false,530,2,laura_smith,true,"€530,00",,,,,1,€530,female,2023,Qtr 4,noviembre,10,5,false,Adulto,47
12,bank transfer,false,638,2,laura_smith,true,"€638,00",,,,,1,€638,female,2023,Qtr 4,noviembre,26,5,false,Adulto,47
12,bank transfer,false,188,2,laura_smith,true,"€188,00",,,,,1,€188,female,2023,Qtr 4,diciembre,23,5,false,Adulto,47
12,bank transfer,false,35,1,lee_kim,true,"€35,00",,,,,1,€35,female,2023,Qtr 4,noviembre,29,2,false,Adulto,55
12,bank transfer,false,49,1,lee_kim,true,"€49,00",,,,,1,€49,female,2023,Qtr 4,diciembre,20,2,false,Adulto,55
12,bank transfer,false,38,3,lisa89,false,"€38,00",,,,,1,€38,female,2023,Qtr 4,diciembre,16,4,false,Joven,25
5,bank transfer,false,306,1,marc_sinclair,false,"€306,00",,,,,1,€306,male,2023,Qtr 4,octubre,4,4,false,Adulto Joven,36
5,bank transfer,false,323,1,marc_sinclair,false,"€323,00",,,,,1,€323,male,2023,Qtr 4,octubre,20,4,false,Adulto Joven,36
5,bank transfer,false,418,1,marc_sinclair,false,"€418,00",,,,,1,€418,male,2023,Qtr 4,noviembre,24,4,false,Adulto Joven,36
5,bank transfer,false,36,1,marc_sinclair,false,"€36,00",,,,,1,€36,male,2023,Qtr 4,diciembre,22,4,false,Adulto Joven,36
5,bank transfer,false,47,1,marc_sinclair,true,"€47,00",,,"100,00%","100,00%",1,€47,male,2023,Qtr 4,octubre,2,4,true,Adulto Joven,36
5,bank transfer,false,40,1,marc_sinclair,true,"€40,00",,,,,1,€40,male,2023,Qtr 4,octubre,3,4,false,Adulto Joven,36
5,bank transfer,false,381,1,marc_sinclair,true,"€381,00",,,,,1,€381,male,2023,Qtr 4,octubre,12,4,false,Adulto Joven,36
5,bank transfer,false,44,1,marc_sinclair,true,"€44,00",,,,,1,€44,male,2023,Qtr 4,noviembre,13,4,false,Adulto Joven,36
5,bank transfer,false,39,1,marc_sinclair,true,"€39,00",,,,,1,€39,male,2023,Qtr 4,noviembre,26,4,false,Adulto Joven,36
